Line,Smell,Number of Parameters,Threshold,File
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableEcPut_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableEcPut_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableEcPut_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableEcPut_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaImmutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaImmutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaImmutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaImmutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMapPutTest_trove_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMapPutTest_trove_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMapPutTest_trove_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMapPutTest_trove_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/HppcMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/HppcMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/HppcMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/HppcMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_ec_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_ec_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_ec_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_ec_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcImmutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcImmutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcImmutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcImmutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_jdk_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_jdk_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_jdk_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_jdk_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/JdkMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/JdkMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/JdkMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/JdkMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMapPutTest_koloboke_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMapPutTest_koloboke_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMapPutTest_koloboke_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/KolobokeMapPutTest_koloboke_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_immutableScalaPut_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_immutableScalaPut_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_immutableScalaPut_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_immutableScalaPut_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/EcMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapPutTest_scalaAnyRef_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapPutTest_scalaAnyRef_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapPutTest_scalaAnyRef_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapPutTest_scalaAnyRef_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/TroveMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_scala_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_scala_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_scala_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_scala_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaMutableMapGetTest_get_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaMutableMapGetTest_get_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaMutableMapGetTest_get_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaMutableMapGetTest_get_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableScalaPut_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableScalaPut_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableScalaPut_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/MapGrowthTest_mutableScalaPut_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_immutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_immutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_immutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_immutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_scala_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_scala_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_scala_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_mutable_scala_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_scala_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_scala_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_scala_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_serial_mutable_scala_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_immutable_ec_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_immutable_ec_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_immutable_ec_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_immutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_scala_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_scala_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_scala_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_scala_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_immutable_scala_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_immutable_scala_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_immutable_scala_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_immutable_scala_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_ec_jmhTest.java
114,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_mutable_scala_jmhTest.java
181,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_mutable_scala_jmhTest.java
249,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_mutable_scala_jmhTest.java
315,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetContainsTest_contains_mutable_scala_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_ec_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_ec_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_ec_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_mutable_ec_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_scala_jmhTest.java
183,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_scala_jmhTest.java
252,long parameters,13,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_scala_jmhTest.java
319,long parameters,10,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_parallel_immutable_scala_jmhTest.java
115,long parameters,9,5,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/set/sorted/jmh_generated/SortedSetIterationTest_serial_immutable_ec_jmhTest.java
